orig,simp.0,simp.1,simp.2,simp.3,simp.4,simp.5
"De ene kant van de gewapende conflicten bestaat voornamelijk uit het Soedanese leger en de Janjaweed, een Soedanese militiegroep die voornamelijk is gerekruteerd uit de Afro-Arabische Abbala-stammen in de noordelijke regio Rizeigat in Soedan.","Aan de ene kant van de conflicten staan het Soedanese leger en de Janjaweed, een Soedanese militiegroep. Ze worden meestal gerekruteerd uit de Afro-Arabische Abbala-stammen.",De ene kant van de gewapende conflicten bestaat voornamelijk uit het Soedanese leger en de Janjaweed. De Janjaweed is een Soedanese militiegroep die voornamelijk is gerekruteerd uit de Afro-Arabische Abbala-stammen in de noordelijke regio Rizeigat in Soedan.,De ene kant van de gewapende conflicten zijn voornamelijk het Soedanese leger en de Janjaweed-militie.,"De ene kant van de oorlog bestaat uit het Soedanese leger en de Janjaweed, een Soedanese militiegroep van de Afro-Arabische Abbala-stammen in de noordelijke regio Rizeigat in Soedan.",De ene kant van de oorlog bestaat voornamelijk uit het Soedanese leger en de Janjaweed. De Janjaweed is een Soedanese militiegroep die voornamelijk afkomstig is van de Afro-Arabische Abbala-stammen in de noordelijke regio Rizeigat in Soedan.,De ene kant van de strijders bestaat uit het Soedanese leger en de Janjaweed. De Janjaweed is een Soedanese militie. Het wordt voornamelijk gerekruteerd uit de Afro-Arabische Abbala-stammen in de noordelijke regio Rizeigat in Soedan.
"Jeddah is de belangrijkste toegangspoort tot Mekka, de heiligste stad van de islam, die valide moslims minstens één keer in hun leven moeten bezoeken.",Moslims zijn verplicht om één keer in hun leven Mekka te bezoeken.,"Gezonde moslims zijn verplicht om Mekka, de heiligste stad van de islam, minstens één keer in hun leven te bezoeken.","Jeddah is de weg naar Mekka, de heiligste stad van de islam, die moslims die sterk genoeg zijn minstens één keer in hun leven moeten bezoeken.","Jeddah is de belangrijkste toegangspoort tot Mekka, de heiligste stad van de islam. Gezonde moslims zijn verplicht om Mekka minstens één keer in hun leven te bezoeken.","Jeddah is de toegangspoort tot Mekka, de heiligste stad van de islam, die moslims een keer in hun leven moeten bezoeken.","Jeddah is de bekende weg naar Mekka, waar moslims verplicht zijn te bezoeken."
Men denkt dat de Grote Donkere Vlek een gat vertegenwoordigt in het methaanwolkendek van Neptunus.,De donkere vlek op Ne;tune kan een gat in de methaanwolken zijn.,Het is waarschijnlijk dat de Grote Donkere Vlek van Neptunus een gat in het methaanwolkendek is.,De Grote Donkere Vlek is een gat in het methaanwolkendek van Neptunus.,Men denkt dat de Grote Donkere Vlek een gat is in het methaanwolkendek van Neptunus.,Men denkt dat de Grote Donkere Vlek een gat is in de methaanwolken van Neptunus.,De Grote Donkere Vlek vertegenwoordigt een gat in de methaanwolk van Neptunus.
"Zijn volgende werk, zaterdag, volgt op een bijzonder veelbewogen dag in het leven van een succesvolle neurochirurg.",Aanstaande zaterdag is een presentatie van een succesvolle neurochirurg.,"Een veelbewogen dag uit het leven van een neurochirurg wordt getoond in zijn volgende werk, Saturday.",Zijn volgende werkdag op zaterdag is na een drukke dag als groot neurochirurg.,"Zijn volgende werk, Saturday, toont een bijzonder veelbewogen dag in het leven van een succesvolle neurochirurg.",Zaterdag volgt een veelbewogen dag in het leven van een neurochirurg.,Zaterdag vertelt over een bewogen dag van een neurochirurg.
"De tarantula, het bedriegerpersonage, gesponnen een zwart koord en bevestigde het aan de bal, kroop snel weg naar het oosten, terwijl hij met al zijn kracht aan het koord trok.",De tarantula gesponnen een zwart koord en bevestigde het aan de bal. Het kroop snel weg naar het oosten en trok aan het koord.,"De tarantula was het bedriegerkarakter. Het spon een zwart koord. Daarna bevestigde hij het koord aan de bal, kroop snel weg en trok met alle kracht aan de bal.","De tarantula die een bedrieger is, spon een zwart koord, bevestigde het aan de bal, kroop snel weg naar het oosten en trok met al zijn kracht aan het koord.","De bedrieger-tarantula spande een zwart koord, bevestigde het aan de bal en kroop snel weg naar het oosten, terwijl hij met al zijn kracht aan het koord trok.","De tarantula, die lastig is, gesponnen een zwart koord om zich met een bal te verbinden en trok deze met al zijn kracht naar het oosten.",De tarantula spon een koord en bevestigde het aan een bal terwijl hij naar het oosten ging en aan dit koord trok.
"Daar stierf hij zes weken later, op 13 januari 888.","Hij stierf daar zes weken later, op 13 januari 888.",Hij stierf daar zes weken later. De datum was 13 januari 888.,"Hij stierf daar zes weken later, op 13 januari 1888.","Hij stierf zes weken later, op 13 januari 888.","Hij stierf daar zes weken later, op 13 januari 888.",Hij stierf in januari 888.
Ze zijn cultureel verwant aan de kustbewoners van Papoea-Nieuw-Guinea.,Ze zijn cultureel vergelijkbaar met de kustbewoners van Papoea-Nieuw-Guinea.,Hun cultuur is vergelijkbaar met die van de kustgemeenschappen van Papoea-Nieuw-Guinea.,Ze hebben dezelfde cultuur als de kustbewoners van Papoea-Nieuw-Guinea.,Ze zijn vergelijkbaar met de kustbewoners van Papoea-Nieuw-Guinea.,Ze zijn vergelijkbaar met de Papoea-Nieuw-Guinea-mensen die aan de kust wonen.,Ze zijn cultureel gezien als mensen in Papoea-Nieuw-Guinea.
Sinds 2000 ontvangt de ontvanger van de Kate Greenaway-medaille ook de Colin Mears Award ter waarde van £ 5000.,Sinds 2000 heeft de ontvanger van de Kate Greenaway-medaille ook de £ 5000 Colin Mears Award gewonnen.,Sinds 2000 ontvangt de winnaar van de Kate Greenaway Medal ook de Colin Mears Award. De waarde van de prijs is £ 5000.,Sinds 2000 ontvangt de persoon die de Kate Greenaway-medaille ontvangt ook de Colin Mears Award met een waarde van £ 5000.,"Sinds 2000 ontvangt de winnaar van de Kate Greenaway-medaille ook de Colin Mears Award, ter waarde van £ 5000.",Sinds 2000 won de winnaar van de Kate Greenaway Medal de Colin Mears Award ter waarde van £5000.,"Degene die de Kate Greenway-medaille wint, krijgt ook de Colin Mears-prijs, namelijk L5000."
"De drummers worden gevolgd door dansers, die vaak de sogo spelen (een kleine trommel die bijna geen geluid maakt) en de neiging hebben om meer uitgebreide - zelfs acrobatische - choreografieën te hebben.","Daarna zijn de drummers dansers, die vaak de sogo spelen (een kleine trommel die bijna geen geluid maakt) en meestal een uitgebreidere — zelfs acrobatische — choreografie hebben.",Na de drummers zijn dansers met uitgebreide bewegingen. Ze bespelen vaak een kleine trommel genaamd de sogo.,"Nadat de drummers dansers zijn. De dansers spelen vaak de sogo (een kleine, stille trom) en voeren meestal moeilijkere bewegingen uit.","Na de drummers volgen dansers, die vaak de sogo spelen (een kleine trommel die bijna geen geluid maakt). Ze hebben de neiging om meer uitgebreide - zelfs acrobatische - choreografieën te hebben.","De drummers worden gevolgd door dansers, die vaak de sogo spelen en een meer uitgebreide choreografie hebben.",Na de drummers komen dansers die sogo spelen met een moeilijkere choreografie.
"Het ruimtevaartuig bestaat uit twee hoofdelementen: de NASA Cassini-orbiter, genoemd naar de Italiaans-Franse astronoom Giovanni Domenico Cassini, en de ESA Huygens-sonde, genoemd naar de Nederlandse astronoom, wiskundige en natuurkundige Christiaan Huygens.","De twee belangrijkste elementen van het ruimtevaartuig zijn de NASA Cassini-orbiter, genoemd naar de Italiaans-Franse astronoom Giovanni Domenico Cassini, en de ESA Huygens-sonde, genoemd naar de Nederlandse astronoom, wiskundige en natuurkundige Christiaan Huygens.","Het ruimtevaartuig bestaat uit twee delen: NASA's Cassini-orbiter, genoemd naar de Italiaans-Franse astronoom, en de ESA Huygens-sonde, genoemd naar de Nederlandse astronoom, wiskundige en natuurkundige.",Het ruimtevaartuig bestaat uit twee hoofdonderdelen: de NASA Cassini-orbiter en de ESA Huygens-sonde.,"Het ruimtevaartuig bestaat uit twee hoofdelementen. De NASA Cassini-orbiter is vernoemd naar de Italiaans-Franse astronoom Giovanni Domenico Cassini. De ESA Huygens-sonde is vernoemd naar de Nederlandse astronoom, wiskundige en natuurkundige Christiaan Huygens.","Het ruimtevaartuig bestaat uit twee hoofdonderdelen: de NASA Cassini-orbiter, genoemd naar de astronoom Giovanni Domenico Cassini, en de ESA Huygens-sonde, genoemd naar de astronoom, wiskundige en natuurkundige Christiaan Huygens.",Het ruimtevaartuig heeft twee hoofdelementen: de NASA Cassini-orbiter en de ESA Huygens-sonde.
